entity_id,state,last_changed
sensor.shelly_pro_3_em_netzbezug,1077,2025-11-22T11:27:52.601Z
sensor.shelly_pro_3_em_netzbezug,1085,2025-11-22T11:28:52.649Z
sensor.shelly_pro_3_em_netzbezug,146,2025-11-22T11:29:53.576Z
sensor.shelly_pro_3_em_netzbezug,149,2025-11-22T11:30:53.612Z
sensor.shelly_pro_3_em_netzbezug,35,2025-11-22T11:31:53.573Z
sensor.shelly_pro_3_em_netzbezug,954,2025-11-22T11:33:19.434Z
sensor.shelly_pro_3_em_netzbezug,1440,2025-11-22T11:34:19.586Z
sensor.shelly_pro_3_em_netzbezug,1426,2025-11-22T11:35:19.582Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T11:40:20.616Z
sensor.shelly_pro_3_em_netzbezug,3,2025-11-22T11:44:48.618Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T11:45:49.584Z
sensor.shelly_pro_3_em_netzbezug,781,2025-11-22T12:39:12.567Z
sensor.shelly_pro_3_em_netzbezug,776,2025-11-22T12:40:12.621Z
sensor.shelly_pro_3_em_netzbezug,87,2025-11-22T12:45:13.628Z
sensor.shelly_pro_3_em_netzbezug,296,2025-11-22T12:50:40.667Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T12:55:41.568Z
sensor.shelly_pro_3_em_netzbezug,4,2025-11-22T13:37:29.610Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T13:38:55.421Z
sensor.shelly_pro_3_em_netzbezug,3,2025-11-22T13:39:55.602Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T13:40:55.615Z
sensor.shelly_pro_3_em_netzbezug,1525,2025-11-22T16:01:44.577Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T16:07:10.583Z
sensor.shelly_pro_3_em_netzbezug,2509,2025-11-22T16:32:05.600Z
sensor.shelly_pro_3_em_netzbezug,1591,2025-11-22T16:37:31.587Z
sensor.shelly_pro_3_em_netzbezug,1647,2025-11-22T16:42:32.560Z
sensor.shelly_pro_3_em_netzbezug,2660,2025-11-22T16:47:58.599Z
sensor.shelly_pro_3_em_netzbezug,2737,2025-11-22T16:51:58.568Z
sensor.shelly_pro_3_em_netzbezug,2692,2025-11-22T16:57:24.400Z
sensor.shelly_pro_3_em_netzbezug,1621,2025-11-22T17:02:24.597Z
sensor.shelly_pro_3_em_netzbezug,1591,2025-11-22T17:07:51.421Z
sensor.shelly_pro_3_em_netzbezug,1617,2025-11-22T17:11:51.574Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T17:16:51.647Z
sensor.shelly_pro_3_em_netzbezug,19,2025-11-22T17:57:39.577Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T18:03:05.567Z
sensor.shelly_pro_3_em_netzbezug,1213,2025-11-22T18:53:20.579Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T18:58:21.566Z
sensor.shelly_pro_3_em_netzbezug,18,2025-11-22T19:03:47.556Z
sensor.shelly_pro_3_em_netzbezug,1,2025-11-22T19:07:47.578Z
sensor.shelly_pro_3_em_netzbezug,0,2025-11-22T19:13:13.405Z
sensor.shelly_pro_3_em_netzbezug,503,2025-11-22T20:12:23.577Z
sensor.shelly_pro_3_em_netzbezug,504,2025-11-22T20:13:23.575Z
sensor.shelly_pro_3_em_netzbezug,433,2025-11-22T20:14:23.564Z
sensor.shelly_pro_3_em_netzbezug,419,2025-11-22T20:15:49.398Z
sensor.shelly_pro_3_em_netzbezug,415,2025-11-22T20:16:49.563Z
sensor.shelly_pro_3_em_netzbezug,417,2025-11-22T20:17:49.556Z
sensor.shelly_pro_3_em_netzbezug,440,2025-11-22T20:18:49.552Z
sensor.shelly_pro_3_em_netzbezug,488,2025-11-22T20:19:49.579Z
sensor.shelly_pro_3_em_netzbezug,446,2025-11-22T20:20:49.560Z
sensor.shelly_pro_3_em_netzbezug,444,2025-11-22T20:21:49.593Z
sensor.shelly_pro_3_em_netzbezug,462,2025-11-22T20:23:49.560Z
sensor.shelly_pro_3_em_netzbezug,496,2025-11-22T20:28:15.556Z
sensor.shelly_pro_3_em_netzbezug,446,2025-11-22T20:33:16.574Z
sensor.shelly_pro_3_em_netzbezug,451,2025-11-22T20:38:44.580Z
sensor.shelly_pro_3_em_netzbezug,486,2025-11-22T20:42:44.581Z
sensor.shelly_pro_3_em_netzbezug,524,2025-11-22T20:43:44.566Z
sensor.shelly_pro_3_em_netzbezug,300,2025-11-22T20:44:44.568Z
sensor.shelly_pro_3_em_netzbezug,345,2025-11-22T20:45:44.581Z
sensor.shelly_pro_3_em_netzbezug,269,2025-11-22T20:47:10.404Z
sensor.shelly_pro_3_em_netzbezug,224,2025-11-22T20:48:10.584Z
sensor.shelly_pro_3_em_netzbezug,496,2025-11-22T20:49:10.604Z
sensor.shelly_pro_3_em_netzbezug,490,2025-11-22T20:54:12.582Z
sensor.shelly_pro_3_em_netzbezug,423,2025-11-22T20:58:38.559Z
sensor.shelly_pro_3_em_netzbezug,259,2025-11-22T21:03:39.551Z
sensor.shelly_pro_3_em_netzbezug,278,2025-11-22T21:09:05.564Z
sensor.shelly_pro_3_em_netzbezug,286,2025-11-22T21:14:05.559Z
sensor.shelly_pro_3_em_netzbezug,279,2025-11-22T21:19:31.562Z
sensor.shelly_pro_3_em_netzbezug,233,2025-11-22T21:23:31.563Z
sensor.shelly_pro_3_em_netzbezug,208,2025-11-22T21:28:58.408Z
sensor.shelly_pro_3_em_netzbezug,210,2025-11-22T21:33:58.579Z
sensor.shelly_pro_3_em_netzbezug,218,2025-11-22T21:39:26.409Z
sensor.shelly_pro_3_em_netzbezug,213,2025-11-22T21:44:26.561Z
sensor.shelly_pro_3_em_netzbezug,215,2025-11-22T21:49:52.405Z
sensor.shelly_pro_3_em_netzbezug,214,2025-11-22T21:53:52.581Z
sensor.shelly_pro_3_em_netzbezug,244,2025-11-22T21:58:52.560Z
sensor.shelly_pro_3_em_netzbezug,238,2025-11-22T22:04:18.554Z
sensor.shelly_pro_3_em_netzbezug,235,2025-11-22T22:09:18.554Z
sensor.shelly_pro_3_em_netzbezug,232,2025-11-22T22:14:44.570Z
sensor.shelly_pro_3_em_netzbezug,235,2025-11-22T22:19:44.552Z
sensor.shelly_pro_3_em_netzbezug,232,2025-11-22T22:29:11.553Z
sensor.shelly_pro_3_em_netzbezug,230,2025-11-22T22:34:37.611Z
sensor.shelly_pro_3_em_netzbezug,208,2025-11-22T22:39:38.550Z
sensor.shelly_pro_3_em_netzbezug,224,2025-11-22T22:44:04.559Z
sensor.shelly_pro_3_em_netzbezug,223,2025-11-22T22:49:04.552Z
sensor.shelly_pro_3_em_netzbezug,231,2025-11-22T22:54:30.556Z
sensor.shelly_pro_3_em_netzbezug,233,2025-11-22T22:59:30.570Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,0,2025-11-21T23:00:00.000Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,6,2025-11-22T06:58:41.573Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,10,2025-11-22T07:03:07.577Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,15,2025-11-22T07:08:07.568Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,24,2025-11-22T07:13:34.565Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,38,2025-11-22T07:18:34.561Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,66,2025-11-22T07:23:02.569Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,84,2025-11-22T07:28:02.613Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,87,2025-11-22T07:29:03.575Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,89,2025-11-22T07:30:03.579Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,92,2025-11-22T07:31:29.415Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,97,2025-11-22T07:32:29.592Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,101,2025-11-22T07:33:29.564Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,103,2025-11-22T07:34:29.579Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,120,2025-11-22T07:38:30.629Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,142,2025-11-22T07:43:58.624Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,159,2025-11-22T07:49:01.578Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,184,2025-11-22T07:53:28.613Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,216,2025-11-22T07:58:30.600Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,245,2025-11-22T08:03:57.560Z
